"","X.x","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP","X.y","Ave_Incom_Onw_Rent","Houhold_Mon_Inco","X.x.x","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household","X.y.y","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family","X.x.x.x","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021.","X.y.y.y","Estimated_Monthly_Shelter_Cost","X.x.x.x.x","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known","X.y.y.y.y","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure","Affordability_Ratio"
"47",47,"Sault Ste. Marie",11030,8000,8870,8615,8790,12225,17895,75420,48,39600,3300,47,5707.5,6290,2445,1882.5,797.5,47,3725,4862.5,2040,167.5,5707.5,622.5,47,15262.5,140,1722.5,1545,115,65,47,997.640663544183,47,12800,10965,23765,47,11420,940,467.5,695,2480,1027.5,97.5,17130,0.302315352589146
"48",48,"Scugog TP",3020,2315,2130,2340,2570,3900,5010,21280,49,52800,4400,48,802.5,1632.5,677.5,655,355,48,1285,1422.5,357.5,132.5,802.5,117.5,48,3555,0,567.5,520,30,22.5,48,1416.63303853614,48,3890,3065,6955,48,3685,82.5,40,57.5,222.5,22.5,10,4122.5,0.321962054212759
"49",49,"South Dundas MU",1660,950,1110,1035,1330,1945,2920,10940,50,43200,3600,49,605,1002.5,297.5,250,175,49,535,867.5,215,47.5,605,62.5,49,2145,0,177.5,155,15,7.5,49,998.569749216301,49,1910,1715,3625,49,1865,165,107.5,15,122.5,15,37.5,2327.5,0.277380485893417
"50",50,"South Huron MU",1515,890,1060,1030,985,1570,2800,9855,51,45200,3766.66666666667,50,662.5,880,245,227.5,150,50,495,775,172.5,20,662.5,42.5,50,1937.5,10,222.5,210,5,5,50,1047.28260869565,50,1445,1570,3020,50,1695,52.5,172.5,7.5,210,0,30,2167.5,0.278039630627164
"51",51,"St. Catharines - Niagara",62715,47295,52160,48255,52305,65970,96775,425480,52,45200,3766.66666666667,51,25735,32747.5,13382.5,11075,6675,51,22475,25837.5,10170,1750,25735,3645,51,68577.5,1207.5,19825,16237.5,2307.5,1280,51,1243.42383472323,51,71880,55400,127280,51,59097.5,5000,6245,3135,10490,5225,422.5,89610,0.330112522492893
"52",52,"Stratford",4760,3340,3930,3985,3970,5115,7380,32485,53,45200,3766.66666666667,52,2462.5,2732.5,982.5,802.5,397.5,52,1622.5,2192.5,787.5,72.5,2462.5,240,52,6372.5,45,955,817.5,87.5,47.5,52,1207.65836923895,52,5370,4330,9695,52,3900,790,447.5,332.5,1475,407.5,12.5,7370,0.320617266169633
"53",53,"The Nation / La Nation M",2420,1335,1845,1715,1775,2120,1950,13155,54,52800,4400,53,520,985,417.5,417.5,217.5,53,857.5,880,192.5,37.5,520,67.5,53,2410,7.5,135,110,12.5,5,53,1315.78965965626,53,2695,1325,4020,53,2117.5,120,45,55,205,0,12.5,2552.5,0.299043104467332
"54",54,"Thunder Bay",17635,14025,16295,13820,14720,18855,25625,120960,55,43600,3633.33333333333,54,8987.5,9720,3765,3075,1522.5,54,5995,7547.5,2992.5,310,8987.5,1240,54,23840,437.5,2800,2357.5,272.5,170,54,1080.00090365405,54,20040,18000,38040,54,18550,1082.5,717.5,1200,3962.5,1292.5,272.5,27072.5,0.297247955134142
"55",55,"Tillsonburg",2625,1850,1990,1975,1990,2660,5200,18295,56,42800,3566.66666666667,55,1292.5,1650,507.5,440,230,55,885,1390,375,60,1292.5,117.5,55,3480,0,632.5,560,60,10,55,1148.11517549526,55,2985,2825,5805,55,2787.5,152.5,252.5,95,567.5,247.5,12.5,4115,0.321901451073437
"56",56,"Timmins",6650,4785,5535,5045,5205,6285,6805,40310,57,42400,3533.33333333333,56,2850,3207.5,1315,1100,470,56,2062.5,2527.5,1047.5,97.5,2850,355,56,8475,112.5,362.5,262.5,55,42.5,56,1116.907352567,56,7385,4570,11950,56,5822.5,630,302.5,525,1225,255,175,8945,0.316105854500094
"57",57,"Toronto",963745,772540,929585,854935,841775,814545,965755,6142880,58,59200,4933.33333333333,57,282725,322057.5,195440,193375,137625,57,382040,235672.5,127630,48392.5,282725,54767.5,57,440020,39745,651460,472857.5,116172.5,62432.5,57,1668.13225102422,57,908175,563705,1471880,57,441495,83180,105452.5,44047.5,107675,347365,2012.5,1131227.5,0.338134915748153
"58",58,"Trent Hills MU",1720,1150,1245,1265,1510,2615,4110,13610,59,42800,3566.66666666667,58,765,1300,382.5,312.5,187.5,58,632.5,1105,262.5,80,765,105,58,2610,0,342.5,312.5,22.5,5,58,1075.24815733916,58,2335,2320,4655,58,2605,32.5,67.5,47.5,185,5,17.5,2952.5,0.301471445982942
"59",59,"Wasaga Beach",2900,1880,2120,2400,2550,4250,8495,24585,60,54000,4500,59,1427.5,2412.5,715,540,310,59,1107.5,2127.5,482.5,120,1427.5,137.5,59,4217.5,12.5,1175,1117.5,42.5,15,59,1308.42030011034,59,4720,4515,9235,59,4467.5,130,447.5,72.5,260,0,27.5,5407.5,0.290760066691187
"60",60,"West Grey MU",2070,1315,1220,1315,1550,2315,3205,12995,61,38800,3233.33333333333,60,627.5,1107.5,377.5,297.5,235,60,725,972.5,177.5,57.5,627.5,75,60,2350,0,292.5,265,25,5,60,1015.38870944061,60,2090,2085,4170,60,2320,35,55,22.5,145,0,65,2642.5,0.314037745187818
"61",61,"West Nipissing / Nipissing Ouest M",2085,1315,1270,1470,1830,2645,3645,14255,62,37200,3100,61,955,1320,420,340,165,61,680,1105,335,27.5,955,102.5,61,3125,0,80,65,5,7.5,61,1047.40754740755,61,2420,1865,4290,61,2375,110,45,175,452.5,0,47.5,3205,0.337873402389532
"62",62,"Windsor",68735,52960,52365,48850,54920,60425,77255,415505,63,45200,3766.66666666667,62,23242.5,27560,12322.5,11557.5,8160,62,23870,21330,9735,1632.5,23242.5,3032.5,62,59192.5,1380,22262.5,16605,3545,2112.5,62,1157.23879708427,62,68150,50975,119125,62,57682.5,3790,4667.5,2275,6930,7055,432.5,82837.5,0.307231539048921
"63",63,"Woodstock",8225,4935,6405,6340,5315,6160,8565,45950,64,50000,4166.66666666667,63,2647.5,3292.5,1447.5,1285,767.5,63,2625,2622.5,1055,192.5,2647.5,297.5,63,7715,42.5,1690,1240,302.5,147.5,63,1326.84015472089,63,8045,4245,12290,63,5427.5,715,1097.5,210,1140,840,17.5,9442.5,0.318441637133014
